Компанија,Наслов,Опис
Вабтек МЗТ АД Скопје,Предлог - одлуки за Собрание на акционери,
Вабтек МЗТ АД Скопје,Предлог - одлуки за Собрание на акционери,
Вабтек МЗТ АД Скопје,Јавен повик за собрание,
Вабтек МЗТ АД Скопје,Други ценовно чувствителни информации,"Вабтек МЗТ АД, Скопје Образложение кон остварени резултати 01.01.-30.09.2024"
Вабтек МЗТ АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,"Вабтек МЗТ АД, Скопје Неревидиран бланс на успех 01.01.-30.09.2024"
Вабтек МЗТ АД Скопје,Други одлуки од собрание,"Одлуки од Собрание Вабтек МЗТ АД, Скопје"
Вабтек МЗТ АД Скопје,Други ценовно чувствителни информации,"Образложение кон остварени резултати 01.01.2024 - 30.06.2024 Вабтек МЗТ АД, Скопје"
Вабтек МЗТ АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,"Вабтек МЗТ АД, Скопје Неревидирани финансиски извештаи 01.01.2024 - 30.06.2024"
Вабтек МЗТ АД Скопје,Предлог - одлуки за Собрание на акционери,"Техничка корекција - дополнување на одлука Вабтек МЗТ АД, Скопје"
Вабтек МЗТ АД Скопје,Предлог - одлуки за Собрание на акционери,"Техничка корекција - дополнување на одлука Вабтек МЗТ АД, Скопје"
Вабтек МЗТ АД Скопје,Предлог - одлуки за Собрание на акционери,"Предлог одлуки за Собрание на акционери Вабтек МЗТ АД, Скопје"
Вабтек МЗТ АД Скопје,Јавен повик за собрание,"Јавен повик за Собрание Вабтек МЗТ АД, Скопје"
ВВ Тиквеш АД Кавадарци,Неревидиран биланс на успех 01.01. - 30.09.,
ВВ Тиквеш АД Кавадарци,Неревидиран биланс на успех 01.01. - 30.09.,Неконсолидиран биланс на успех 01 01 2024-30 09 2024
ВВ Тиквеш АД Кавадарци,Други ценовно чувствителни информации,Образложение кон консолидирани финансиски извештаи 01 01 2024-30 06 2024
ВВ Тиквеш АД Кавадарци,Неревидирани финансиски извештаи 01.01. - 30.06.,Консолидирани финансиски извештаи 01.01.2024-30.06.2024
ВВ Тиквеш АД Кавадарци,Други ценовно чувствителни информации,Образложение кон финансиски извештаи 01 01 2024-30 06 2024
ВВ Тиквеш АД Кавадарци,Неревидирани финансиски извештаи 01.01. - 30.06.,Неконсолидирани финансиски извештаи 01.01.2024-30.06.2024 
ВВ Тиквеш АД Кавадарци,Измени во органи на управување,"Почитувани,  По Одлука од седница на Надзорен Одбор отповикани се двајца членови на Управниот одбор на Акционерско друштво за производство и промет на вино ВИНАРСКА ВИЗБА-ТИКВЕШ експорт –импорт АД-Кавадарци и тоа Љупчо Крстевски и Драгана Јаневска.   Со почит, ВВ-ТИКВЕШ АД-Кавадарци"
Ветекс АД Велес,Неревидиран биланс на успех 01.01. - 30.09.,НЕРЕВИДИРАН БИЛАНС НА УСПЕХ 01.01-30.09 НА ВЕТЕКС АД
Ветекс АД Велес,Други ценовно чувствителни информации,ОБРАЗЛОЖЕНИЕ ЗА РЕЗУЛТАТИТЕ ОД РАБОТЕЊЕТО НА ВЕТЕКС АД ОД 01.01.-30.09.2024
Ветекс АД Велес,Други ценовно чувствителни информации,ОБРАЗЛОЖЕНИЕ ЗА РЕЗУЛТАТИТЕ ОД РАБОТЕЊЕТО НА ВЕТЕКС АД 01.01-30.06.2024
Ветекс АД Велес,Неревидирани финансиски извештаи 01.01. - 30.06.,НЕРЕВИДИРАНИ ФИНАНСИСКИ ИЗВЕШТАИ ЗА ВЕТЕКС АД 01.01-30.06.2024
Витаминка АД Прилеп,Откуп/продажба на сопствени акции,Витаминка АД Прилеп објавува откуп на сопствени акции
Витаминка АД Прилеп,Други ценовно чувствителни информации,Образложение до берза од Витаминка АД Прилеп
Витаминка АД Прилеп,Неревидиран биланс на успех 01.01. - 30.09.,Неревидирани финансиски извештаи од Витаминка АД Прилеп
Витаминка АД Прилеп,Други ценовно чувствителни информации,Образложение до берза од Витаминка АД Прилеп
Витаминка АД Прилеп,Неревидирани финансиски извештаи 01.01. - 30.06.,Витаминка АД објавува неревидиран финансиски извештај
Витаминка АД Прилеп,Други ценовно чувствителни информации,Витаминка АД известува за објава на неревидирани финансиски извештаи
Витаминка АД Прилеп,Други ценовно чувствителни информации,Образложение за берза од Витаминка АД Приле
Витаминка АД Прилеп,Неревидирани финансиски извештаи 01.01. - 30.06.,Витаминка АД Прилеп обајавува неревидирани финансиски извештаи до 30.06.2024
Витаминка АД Прилеп,Други ценовно чувствителни информации,Известување за објава на неревидирани финансиски извештаи од Витаминка АД Прилеп
ГД Тиквеш АД Кавадарци,Други ценовно чувствителни информации,ОБРАЗЛОЖЕНИЕ КОН БИЛАНСОТ НА УСПЕХ 01.01.2024-30.09.2024
ГД Тиквеш АД Кавадарци,Неревидиран биланс на успех 01.01. - 30.09.,НЕРЕВИДИРАН БИЛАНС НА УСПЕХ 01.01.2024-.30.09.2024
ГД Тиквеш АД Кавадарци,Други ценовно чувствителни информации,ОБРАЗЛОЖЕНИЕ КОН ФИНАНСИСКИТЕ ИЗВЕШТАИ 01.01.2024-30.06.2024
ГД Тиквеш АД Кавадарци,Неревидирани финансиски извештаи 01.01. - 30.06.,"НЕРЕВИДИРАНИ,ФИНАНСИСКИ ИЗВЕШТАИ 01.01.2024-30.06.2024"
Герас Цунев Конфекција АД Струмица,Други ценовно чувствителни информации,
Герас Цунев Конфекција АД Струмица,Други ценовно чувствителни информации,
Герас Цунев Конфекција АД Струмица,Други ценовно чувствителни информации,Известување
Герас Цунев Конфекција АД Струмица,Други ценовно чувствителни информации,Извештај
Герас Цунев Конфекција АД Струмица,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех 01.01.-30.09
Герас Цунев Конфекција АД Струмица,Други ценовно чувствителни информации,Намера за превземање
Герас Цунев Конфекција АД Струмица,Други ценовно чувствителни информации,Ви испраќаме извештај
Герас Цунев Конфекција АД Струмица,Неревидирани финансиски извештаи 01.01. - 30.06.,Ви испраќаме неревидирани финансиски извештаи
Герас Цунев Конфекција АД Струмица,Други ценовно чувствителни информации,Ви испраќаме Годишен извештај од Герас Цунев Конфркција
Герас Цунев Конфекција АД Струмица,Ревидирани финансиски извештаи,Ви испраќаме ревидирани финансиски извештаи
Герас Цунев Конфекција АД Струмица,Други одлуки од собрание,Ви испраќаме одлуки од собрание на Герас Цунев Конфекција
Герас Цунев Трговија АД Струмица,Други ценовно чувствителни информации,
Герас Цунев Трговија АД Струмица,Други ценовно чувствителни информации,
Герас Цунев Трговија АД Струмица,Други ценовно чувствителни информации,Известување
Герас Цунев Трговија АД Струмица,Други ценовно чувствителни информации,Извештај
Герас Цунев Трговија АД Струмица,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех
Герас Цунев Трговија АД Струмица,Други ценовно чувствителни информации,Намера за превземање
Герас Цунев Трговија АД Струмица,Други ценовно чувствителни информации,Ви испраќаме извештај
Герас Цунев Трговија АД Струмица,Неревидирани финансиски извештаи 01.01. - 30.06.,Ви испраќаме неревидирани финансиски извештаи
Герас Цунев Трговија АД Струмица,Ревидирани финансиски извештаи,Ви испраќаме ревидирани Финансиски извештаи
Герас Цунев Трговија АД Струмица,Други одлуки од собрание,Ви испраќаме одлуки од собрание Герас Цунев Трговија
Гранит АД Скопје,Други ценовно чувствителни информации,
Гранит АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
Гранит АД Скопје,Други ценовно чувствителни информации,
Гранит АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
Гранит АД Скопје,Други ценовно чувствителни информации,Известување
Гранит АД Скопје,Други ценовно чувствителни информации,"Образложение за остварени резултати во консолидираните финансиски извештаи за период 01,01,2024-30,04,2024 "
Гранит АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,"Неревидирани консолидирани финансиски извештаи за период 01,01,2024-30,06,2024 "
Гранит АД Скопје,Други ценовно чувствителни информации,"Образложение за остварени резултати во поединечните финансиски извештаи за период 01,01,2024-30,04,2024"
Гранит АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,"Неревидирани неконсолидирани финансиски извештаи за период 01,01,2024-30,06,2024"
Грозд АД Струмица,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех за период 01.01-30.09.2024
Грозд АД Струмица,Други ценовно чувствителни информации,Образложение за работењето на АД Грозд Струмица 01.01.2024-30.06.2024
Грозд АД Струмица,Неревидирани финансиски извештаи 01.01. - 30.06.,
ГТЦ АД Скопје,Измени во органи на управување,
ГТЦ АД Скопје,Предлог - одлуки за Собрание на акционери,Биографии за предложени кандидати за членови на Одбор на директори на Градски Трговски Центар А.Д. Скопје
ГТЦ АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,"Ви доставуваме Неревидиран биланс на успех  за период од 01,01,2024 год. до 30,09,2024 год."
ГТЦ АД Скопје,Предлог - одлуки за Собрание на акционери,Предлог-Одлука за отповикување на членови на ОД на ГТЦ А.Д. Скопје и Предлог-Одлука за именување на членови на ОД на ГТЦ А.Д. Скопје
ГТЦ АД Скопје,Јавен повик за собрание,Објавуваме Јавен повик за Собрание на акционери на ГТЦ А.Д. Скопје
ГТЦ АД Скопје,Други ценовно чувствителни информации,"Ви испраќаме Образложение кон финансискиот резултат за период од 01,01,2024 год. до 30,06,2024 год."
ГТЦ АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,"Во прилог Ви испраќаме Неревидиран финансиски извештаи за период од 01,01,2024 год. до 30,06,2024 год."
ГТЦ АД Скопје,Ревидирани финансиски извештаи,Доставуваме ревидирани финансиски извештаи
ГТЦ АД Скопје,Други одлуки од собрание,Ги доставуваме Одлуките усвоени на Годишното собрание на Градски Трговски Центар А.Д. Скопје
ГТЦ АД Скопје,Распределба на добивка,Ја доставуваме Одлуката за покриванје на загуба од минати години (2023)
Дебарски бањи - Цапа АД Дебар,Неревидиран биланс на успех 01.01. - 30.09.,"АД Дебарски Бањи Цапа - Дебар, Неревидиран биланс на успех 01.01. - 30.09..2024"
Дебарски бањи - Цапа АД Дебар,Други ценовно чувствителни информации,ОБРАЗЛОЖЕНИЕНА БИЛАНСОТ НА УСПЕХ На Дебарски Бањи-Цапа АД Дебар за период 01.01-30-06.2024 година
Дебарски бањи - Цапа АД Дебар,Неревидирани финансиски извештаи 01.01. - 30.06.,
Димко Митрев АД Велес,Неревидиран биланс на успех 01.01. - 30.09.,Направена е корекција во реден бр.15 -Амортизација на материјални и нематријални средства
Димко Митрев АД Велес,Други ценовно чувствителни информации,
Димко Митрев АД Велес,Неревидиран биланс на успех 01.01. - 30.09.,
Димко Митрев АД Велес,Други ценовно чувствителни информации,Согласно глава 6 од Правилата за котација објавуваме Образложение за остварените резултати на Димко Митрев а.д. Велес за период од 01.01.-30.06.2024 година
Димко Митрев АД Велес,Неревидирани финансиски извештаи 01.01. - 30.06.,"Согласно глава 6 од Правилата за котација ги објавуваме неревидирани,неконсолидирани финансиски извештаи ( Билан на успех, Биланс на состојба, Извештај за паричните текови, Извештај за промените во капиталот ) за периодот 01.01.-30.06.2024 година  за Димко Митрев а.д. Велес"
ДС Смитх АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех 01.01. - 30.09.2024
ДС Смитх АД Скопје,Измени во органи на управување,"Согласно Глава 6 од Правилата за котација, известуваме за следниве измени во органите на управување: Почитувани,  Ве известуваме дека од ден 10.10.2024 за член на Управен одбор на местото на Слаџана Гајиќ е именуван Зоран Мијатовиќ.  Со почит, ДС СМИТХ АД Скопје"
ДС Смитх АД Скопје,Други ценовно чувствителни информации,Образложение за остварените финансиски резултати на ДС СМИТХ АД Скопје до 30.06.2024
ДС Смитх АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи 01.01-30.06.2024
ДС Смитх АД Скопје,Неревидиран биланс на успех 01.01. - 31.03.,Неревидиран биланс на успех 01.01-31.03.2024
ДС Смитх АД Скопје,Измени во органи на управување,Одлука за промена на управувачка структура
Европа АД Скопје,Други ценовно чувствителни информации,Образложение на резултатите за период 01.01-30.09/2024 АД ЕВРОПА СКОПЈЕ
Европа АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех за период 01.01-30.09/2024 АД ЕВРОПА СКОПЈЕ
Европа АД Скопје,Други ценовно чувствителни информации,Образложение на финансиски резултат за период 01.01-30.06/2024 за АД ЕВРОПА СКОПЈЕ
Европа АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи за период 01.01-30.06/2024 за АД ЕВРОПА СКОПЈЕ
Европа АД Скопје,Измени во органи на управување,Измени во органи на управување
Европа АД Скопје,Голема зделка,Голема зделка
Европа АД Скопје,Други ценовно чувствителни информации,други ценовно чуствителни информации
Европа АД Скопје,Други ценовно чувствителни информации,други ценовно чуствителни информации
Европа АД Скопје,Ревидирани финансиски извештаи,ревидирани финансиски извештаи
Европа АД Скопје,Дивиденден Календар,Дивиденден Календар
Европа АД Скопје,Други одлуки од собрание,Други одлуки од собрание
ЖАС АД Скопје,Други ценовно чувствителни информации,Образложение кон резултатите 01.01.2024-30.09.2024
ЖАС АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран Биланс на успех 01.01.2024-30.09.2024
ЖАС АД Скопје,Други ценовно чувствителни информации,Образложение кон резултатите 01.01.2024-30.06.2024
ЖАС АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи 01.01.2024-30.06.2024
Жито Лукс АД Скопје,Други ценовно чувствителни информации,
Жито Лукс АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех за период 01.01-30.09.2024
Жито Лукс АД Скопје,Други ценовно чувствителни информации,Образложение за резултатот од работењето за периодот 01.01-30.06.2024. 
Жито Лукс АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Жито Лукс АД Скопје ги објавува неревидираните финансиски извештаи за период 01.01- 30.06.2024 
Жито Полог АД Тетово,Други одлуки од собрание,
Жито Полог АД Тетово,Други ценовно чувствителни информации,
Жито Полог АД Тетово,Други ценовно чувствителни информации,
Жито Полог АД Тетово,Предлог - одлуки за Собрание на акционери,
Жито Полог АД Тетово,Јавен повик за собрание,javen povik za sobranie
Жито Полог АД Тетово,Други ценовно чувствителни информации,Образложение кон консолидираниот биланс на успех -  30.09.2024
Жито Полог АД Тетово,Неревидиран биланс на успех 01.01. - 30.09.,Консолидиран Биланс на успех 30.09.2024
Жито Полог АД Тетово,Други ценовно чувствителни информации,образложение кон билансот на успех од 30.09.2024
Жито Полог АД Тетово,Неревидиран биланс на успех 01.01. - 30.09.,неревидиран единечен биланс на успех
Жито Полог АД Тетово,Други ценовно чувствителни информации,izvestaj za promena na sopstvenost na akcioner
Жито Полог АД Тетово,Други ценовно чувствителни информации,Извештај за промена на сопственост на акционер
Жито Полог АД Тетово,Други ценовно чувствителни информации,образложение за консолидираниот неревидиран финансиски извештај 30.06.2024 г.
Жито Полог АД Тетово,Неревидирани финансиски извештаи 01.01. - 30.06.,Консолидиран неревидиран финасиски извештај за периодот 01.01.2024-30.06.2024
Жито Полог АД Тетово,Други ценовно чувствителни информации,извечтај за промена на сопственост на акционер
Жито Полог АД Тетово,Други ценовно чувствителни информации,образложение кон финасиските извештаи
Жито Полог АД Тетово,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи 01.01.2024-30.06.2024
Жито Полог АД Тетово,Зделка со заинтересирана страна,odluka za zdelka so zainteresirana strana
ЗК Пелагонија АД Битола,Други ценовно чувствителни информации,ОБРАЗЛОЖЕНИЕ КОН НЕРЕВИДИРАНИТЕ КОНСОЛИДИРАНИ ФИНАНСИСКИ ИЗВЕШТАИ 31.09.2024 ЗК ПЕЛАГОНИЈА
ЗК Пелагонија АД Битола,Неревидиран биланс на успех 01.01. - 30.09.,Неревидирани консолидирани финансиски извештаи Групација ЗК Пелагонија 01.01-30.09.2024
ЗК Пелагонија АД Битола,Други ценовно чувствителни информации,Образложение на билансот на успех неконсолидиран 30.09.2024 ЗК Пелагонија АД Битола
ЗК Пелагонија АД Битола,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех за ЗК Пелагонија 01.01-30.09.2024
ЗК Пелагонија АД Битола,Други ценовно чувствителни информации,Промена на сопственост на над 5% акции.
ЗК Пелагонија АД Битола,Други ценовно чувствителни информации,Образложение на консолидираниот финансиски извештај за групација ЗК Пелагонија АД Битола 30.06.2024
ЗК Пелагонија АД Битола,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани консолидирани финансиски извештаи за Групацијата ЗК Пелагонија АД Битола - 30.06.2024
ЗК Пелагонија АД Битола,Други ценовно чувствителни информации,Образложение кон Неревидираните финансиски Извештаи за ЗК Пелагонија 30.06.2024
ЗК Пелагонија АД Битола,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани Финансиски Извештаи за ЗК Пелагонија 30.06.2024
ЗК Пелагонија АД Битола,Други одлуки од собрание,"Одлуки од Собранието на акционери на ЗК Пелагонија АД Битола, одржано на 30.07.2024 год."
ЗК Пелагонија АД Битола,Распределба на добивка,Одлука за распоредување на остварената добивка за 2023 год. - ЗК Пелагонија
ЗК Пелагонија АД Битола,Ревидирани финансиски извештаи,Ревидирани консолидирани финансиски извештаи за групација ЗК Пелагонија 31.12.2023 год.
ЗК Пелагонија АД Битола,Ревидирани финансиски извештаи,Ревизорски извештај за ЗК Пелагонија 2023 год.
ЗК Пелагонија АД Битола,Предлог - одлуки за Собрание на акционери,"Во прилог објавувамеПрашалник за корпоративно управување, како и изјава за усогласеност за корпоративно управување"
ЗК Пелагонија АД Битола,Предлог - одлуки за Собрание на акционери,"Во прилог објавуваме материјали за Годишно собрание на ЗК Пелагонија АД Битола, закажано на 30.07.2024"
ЗК Пелагонија АД Битола,Предлог - одлуки за Собрание на акционери,"Предлог-одлуки за годишно собрание на ЗК Пелагонија АД Битола, закажано на 30.07.2024"
ЗК Пелагонија АД Битола,Јавен повик за собрание,"Јавен повик за годишно собрание на ЗК Пелагонија АД Битола, закажано на 30.07.2024"
Интернешнел Хотелс АД Скопје,Други ценовно чувствителни информации,Коментар кон БУ 30.09.2024
Интернешнел Хотелс АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
Интерпромет АД Тетово,Други ценовно чувствителни информации,"Согласно Глава 6 од Правилникот за котација,го објавуваме следново - Образложение на неревидираниот биланс на успех 01.01.-30.09"
Интерпромет АД Тетово,Неревидиран биланс на успех 01.01. - 30.09.,"Согласно Глава 6 од Правилникот за котација,го објавуваме следниов финансов извештај - Неревидиран биланс на успех 01.01.-30.09.2024 година"
Интерпромет АД Тетово,Други ценовно чувствителни информации,"Согласно глава 6 од Правилникот за котација,го објавуваме следново - Образложение на неревидирани биланси 01.01. - 30.06.2024 г."
Интерпромет АД Тетово,Неревидирани финансиски извештаи 01.01. - 30.06.,"Согласно Глава 6 од правилникот за котација,го објавуваме следниов финансов извештај - Неревидирани финансисаки извештаи 01.01 - 30.06.2024 година"
